emdb_id,group,resolution (??),rise_deposited (??),twist_deposited (??),csym_deposited,curated_rise (??),curated_twist (??),curated_csym,vector difference,axes order,cc_emdb,cc_curated,validated,update,reason,reason 1,reason 2
EMD-42886,amyloid,3,2.39,179.43,C1,2.393333317,-179.4497644,1,0.299861341,,0.566791204,0.885812023,Yes,improve,twist sign,,
EMD-51884,amyloid,2.48,2.43,179.474,C1,2.424726913,179.4762583,1,0.005333928,,0.944969237,0.965028491,Yes,equal,,,
EMD-51886,amyloid,2.72,2.42,179.393,C1,2.430541967,179.3851401,1,0.01090842,,0.939020587,0.959532541,Yes,equal,,,
EMD-50089,non-amyloid,2.9,17.09,33.24,C6,17.08093441,-26.76012722,6,0.009065934,,0.466385118,0.409058988,Yes,equal,,,
EMD-42930,non-amyloid,2.95,3.203,21.18,C1,3.202154478,21.17904523,1,0.001053892,,0.97570828,0.975555141,Yes,equal,,,
EMD-45464,amyloid,3.2,4.76,-1.35,C1,4.76000148,-1.359304467,1,0.004434547,,0.81503788,0.814977271,Yes,equal,,,
EMD-45465,amyloid,3.3,4.76,-1.42,C1,4.760241647,-1.432219268,1,0.006621588,,0.805902905,0.80579393,Yes,equal,,,
EMD-42931,non-amyloid,3.01,3.028,20.047,C1,3.028872815,20.03123131,1,0.009865001,,0.886718611,0.973366492,Yes,equal,,,
EMD-42922,non-amyloid,3.53,3.04,20,C1,3.034874377,20.0000168,1,0.005125629,,0.968700141,0.968884259,Yes,equal,,,
EMD-42926,non-amyloid,4.27,3.15,-20.65,C1,3.139495684,-20.65004795,1,0.01050433,,0.959200074,0.964226653,Yes,equal,,,
EMD-42928,non-amyloid,4.35,3.21,21.19,C1,3.205693434,21.20747544,1,0.009646011,,0.970038232,0.971419776,Yes,equal,,,
EMD-42929,non-amyloid,4.35,3.14,-20.65,C1,3.158183629,-20.64835571,1,0.018200906,,0.96773977,0.973904103,Yes,equal,,,
EMD-42927,non-amyloid,4.2,3.04,20.05,C1,3.034331051,20.05310628,1,0.005882228,,0.972174275,0.971366608,Yes,equal,,,
EMD-42923,non-amyloid,3.5,3.22,21.15,C1,3.21882874,21.14733494,1,0.001574557,,0.969527195,0.968712943,Yes,equal,,,
EMD-42925,non-amyloid,5.78,3.17,20.83,C1,3.167399405,20.83693558,1,0.004241536,,0.972033996,0.972551382,Yes,equal,,,
EMD-50587,amyloid,2.64,4.88,-0.46,C1,4.888866025,-0.483708009,1,0.01596489,,0.964203408,0.923769963,Yes,equal,,,
EMD-18883,amyloid,2.8,4.78,-1.4,C1,4.786666661,-1.509245294,1,0.029515129,,0.698528558,0.69856028,Yes,equal,,,
EMD-38069,amyloid,3.47,4.83,-0.702,C1,4.828016525,-0.713637089,1,0.006599519,,0.957298343,0.95665528,Yes,equal,,,
EMD-52014,amyloid,3,2.38,179.5,C1,2.377433634,179.4999997,1,0.002566366,,0.911773072,0.933519074,Yes,equal,,,
EMD-43830,non-amyloid,3.26,5.03,65.4,C1,5.040381645,65.38636543,1,0.012354352,,0.86171468,0.864696262,Yes,equal,,,
EMD-50023,amyloid,2.9,2.39,179.6,C1,2.385513563,179.569884,1,0.018339832,,0.796171731,0.798367831,Yes,equal,,,
EMD-37996,non-amyloid,4,24.5,156.03,C1,24.44235671,155.9916186,1,0.058439895,,0.959294326,0.96069001,Yes,equal,,,
EMD-47020,amyloid,2.8,4.779,-0.2913,C1,4.785212397,-0.310453543,1,0.009573798,,0.957096719,0.93718795,Yes,equal,,,
EMD-50318,non-amyloid,3.8,1.61,122.8,C1,1.534842593,120.9271232,1,0.330226514,,0.445502769,0.426087947,Yes,equal,,,
EMD-47021,amyloid,2.8,4.779,-0.2913,C1,4.785212397,-0.310453543,1,0.009573798,,0.957096719,0.93718795,Yes,equal,,,
EMD-38892,non-amyloid,3.8,27.464,104.141,C1,27.46508853,104.1408182,1,0.001090178,,0.961687347,0.961684803,Yes,equal,,,
EMD-38898,non-amyloid,2.61,11.137,102.047,C1,11.13757813,102.0461391,1,0.000667825,,0.952321852,0.95230274,Yes,equal,,,
EMD-38900,non-amyloid,3.46,28.016,103.969,C1,28.01216045,103.9685917,1,0.003842265,,0.961205634,0.961105051,Yes,equal,,,
EMD-46937,amyloid,3.71,2.41,179.574,C1,2.412626772,179.5727263,1,0.002661928,,0.96674082,0.962306587,Yes,equal,,,
EMD-50319,non-amyloid,3.8,1.61,122.8,C1,1.564634333,122.9201037,1,0.04996141,,0.662699181,0.896195573,Yes,improve,adjusted decimals,,
EMD-18700,non-amyloid,2.03,5.433,107.947,C1,5.435167673,107.8999998,1,0.031086163,,0.930511003,0.931586617,Yes,equal,,,
EMD-35460,amyloid,3.11,4.88,-1.079,C1,4.887478352,-1.108895635,1,0.011116138,,0.915102721,0.906029875,Yes,equal,,,
EMD-35459,amyloid,2.97,4.87,-1.058,C1,4.869740633,-1.087983075,1,0.010220104,,0.917826577,0.916438018,Yes,equal,,,
EMD-42350,amyloid,3.9,4.8,-1.076,C2,4.74194626,-1.235328614,2,0.134911457,,0.841788852,0.824770102,Yes,equal,,,
EMD-47180,non-amyloid,3.3,27.557,-167.181,C1,27.54135038,-167.1709712,1,0.015796472,,0.964404378,0.962060992,Yes,equal,,,
EMD-47179,non-amyloid,3.4,27.557,-166.9,C1,27.54947786,-166.8957791,1,0.007576731,,0.9647935,0.963876355,Yes,equal,,,
EMD-18588,non-amyloid,2.4,9.242,92.36,C1,9.23238051,92.31677911,1,0.014824855,,0.919811621,0.916171005,Yes,equal,,,
EMD-19865,non-amyloid,3,6.54,-157,C3,6.533278677,-36.99712357,3,0.006827626,,0.923067632,0.925915878,Yes,equal,,,
EMD-19866,non-amyloid,3,4.04,-34.45,C2,4.035345495,-34.42837597,2,0.010282847,,0.823278765,0.921574685,Yes,equal,,,
EMD-18593,non-amyloid,2.63,11.25,84,C1,11.24564468,84.0389469,1,0.009747386,,0.976211892,0.976124002,Yes,equal,,,
EMD-43278,non-amyloid,2.7,40.86,-40.83,C6,40.88218928,19.19478546,6,0.0273678,,0.917207648,0.919192165,Yes,equal,,,
EMD-46417,amyloid,3,2.38,179.46,C1,2.377595334,179.4411375,1,0.002681399,,0.85995131,0.852651207,Yes,equal,,,
EMD-60394,non-amyloid,3.32,34.2,-18.4,C9,34.25704162,-18.4112715,9,0.057087916,,0.959346017,0.963101977,Yes,equal,,,
EMD-46420,amyloid,2.9,4.78,-1.08,C1,4.776490196,-1.098779874,1,0.008676059,,0.925915382,0.928604692,Yes,equal,,,
EMD-46424,amyloid,3.3,4.77,-1.74,C1,4.757709421,-1.760915261,1,0.014596154,,0.926021428,0.932692765,Yes,equal,,,
EMD-46422,amyloid,2.6,2.39,179.44,C1,2.386631431,179.4396397,1,0.003370462,,0.869454336,0.873316367,Yes,equal,,,
EMD-37443,non-amyloid,2.94,14.584,83.437,C1,14.58218717,83.43496305,1,0.001938571,,0.960717402,0.960808128,Yes,equal,,,
EMD-18429,non-amyloid,6.7,7.48,-21.7,C4,7.380828804,21.75531466,4,5.191777823,,0.49054678,0.902798996,Yes,improve,twist sign,,
EMD-18427,non-amyloid,7,4.09,77.7,C2,4.086678024,-77.70911998,2,3.323677733,,0.315002543,0.879131439,Yes,improve,twist sign,,
EMD-18435,non-amyloid,7.8,2.73,82,C2,3.011592067,-83.03284737,2,1.951927886,,0.566714179,0.537730729,Yes,equal,,,
EMD-18318,non-amyloid,3.74,2.372081,-75.86007,C1,2.373432592,-75.85806372,1,0.002317922,,0.878554401,0.878113432,Yes,equal,,,
EMD-18663,amyloid,2.8,4.78,-1,C1,4.77230592,-1.015237688,1,0.009476241,,0.852835802,0.852212367,Yes,equal,,,
EMD-18420,non-amyloid,7,2.1,43.5,C1,2.102844234,43.49933305,1,0.002923632,,0.932961995,0.933197307,Yes,equal,,,
EMD-18434,non-amyloid,6.7,6.06,-17.6,C4,6.084245721,17.65320988,4,4.658442364,,0.512151031,0.90871028,Yes,improve,twist sign,,
EMD-18321,non-amyloid,3.78,2.15543,68.50718,C1,2.152152606,68.50666983,1,0.003323104,,0.753622339,0.755110117,Yes,equal,,,
EMD-18433,non-amyloid,7,6.03,-17.6,C4,6.052550151,17.56343586,4,4.618553699,,0.563560066,0.906236704,Yes,improve,twist sign,,
EMD-18431,non-amyloid,6.7,3.34,80.3,C2,3.3318683,-80.27955197,2,2.555685599,,0.512471221,0.906916292,Yes,equal,,,
EMD-18421,non-amyloid,7.1,1.96,133.5,C1,1.974649276,133.5025332,1,0.014863266,,0.925453244,0.927270538,Yes,equal,,,
EMD-18669,amyloid,3.26,4.78,-1.22,C1,4.771251753,-1.191744231,1,0.012522203,,0.864878812,0.863342,Yes,equal,,,
EMD-51325,amyloid,3.36,4.79,-0.77,C1,4.784743923,-0.769437453,1,0.005259253,,0.962111694,0.953008506,Yes,equal,,,
EMD-60262,amyloid,2.9,4.80877,-0.778114,C1,4.78666654,-0.790011042,2,0.02323701,,0.897916825,0.873047368,Yes,equal,,,
EMD-18384,non-amyloid,5.1,1.79,124.4,C1,1.813718043,124.4011259,1,0.023729476,,0.934872028,0.945476471,Yes,equal,,,
EMD-38106,amyloid,2.7,2.40104,-179.243,C1,2.393333333,-179.2201596,1,0.01438352,,0.840051531,0.831821915,Yes,equal,,,
EMD-51319,amyloid,2.81,4.8,-0.63,C1,4.78666663,-0.636456058,1,0.01374924,,0.96260074,0.955906639,Yes,equal,,,
EMD-60232,amyloid,3.5,4.79997,-0.861471,C1,4.786666641,-0.866130788,1,0.013590772,,0.91658498,0.900457609,Yes,equal,,,
EMD-38105,amyloid,3.5,2.42418,-179.346,C1,2.422412178,-179.3384299,1,0.003835249,,0.941246092,0.941873921,Yes,equal,,,
EMD-38104,amyloid,3,2.40454,-179.38,C1,2.40526808,-179.3800792,1,0.000729183,,0.919345192,0.918682963,Yes,equal,,,
EMD-45588,amyloid,2.97,2.369,179.49,C1,2.366775776,179.4788642,1,0.003997239,,0.784077937,0.783310735,Yes,equal,,,
EMD-51320,amyloid,2.26,4.76,-1.18,C1,4.759360071,-1.181872948,1,0.001175466,,0.957709903,0.956744741,Yes,equal,,,
EMD-60231,amyloid,3.1,2.40347,-179.337,C1,2.405732248,-179.3375362,1,0.002274812,,0.885965604,0.882538511,Yes,equal,,,
EMD-18322,non-amyloid,3.67,2.159955,85.49485,C1,2.154609768,85.49467356,1,0.005349542,,0.733506126,0.740149867,Yes,equal,,,
EMD-18319,non-amyloid,3.67,2.440385,-75.83495,C1,2.435123552,-75.83869274,1,0.006218899,,0.796169298,0.793983642,Yes,equal,,,
EMD-45589,amyloid,2.69,2.376,179.51,C1,2.374095629,179.4979428,1,0.004178001,,0.79939616,0.797622603,Yes,equal,,,
EMD-38107,amyloid,2.7,2.40476,-179.26,C1,2.405312561,-179.2584156,1,0.000951928,,0.93035609,0.930245109,Yes,equal,,,
EMD-60226,amyloid,3.4,2.40514,-179.403,C1,2.414796516,-179.4014693,1,0.009679499,,0.889227519,0.873588934,Yes,equal,,,
EMD-19051,non-amyloid,3.4,15.8,56,C1,15.66867503,55.96046243,1,0.131502607,,0.862795919,0.888374174,Yes,equal,,,
EMD-60712,non-amyloid,3.6,39,40,C3,40.86794051,38.8157991,3,1.878655767,,0.617912849,0.87874091,Yes,improve,interchanged values,,
EMD-19050,non-amyloid,3.2,16.2,56.3,C1,16.31922441,56.75921859,1,0.153735281,,0.717339712,0.849896132,Yes,equal,,,
EMD-18570,amyloid,2.5,2.44,179.43,C1,2.437506563,179.4166632,1,0.005807394,,0.95091992,0.95290881,Yes,equal,,,
EMD-42463,amyloid,2.31,2.38,179.46,C1,2.37487276,179.4559196,1,0.005459164,,0.963733732,0.952030448,Yes,equal,,,
EMD-45500,non-amyloid,2.22,4.778,65.923,C1,4.778050728,65.92247314,1,0.000284084,,0.962961158,0.962865241,Yes,equal,,,
EMD-37199,amyloid,3.4,2.389,178.48,C1,2.393333193,178.47011,1,0.005360272,,0.961211898,0.947699448,Yes,equal,,,
EMD-37197,amyloid,3.5,4.81,-1.91,C1,4.819462356,-1.965140502,1,0.026675217,,0.930506156,0.948379243,Yes,equal,,,
EMD-37195,amyloid,3.3,2.396,178.54,C1,2.393333314,178.5521293,1,0.004444179,,0.953386229,0.959055158,Yes,equal,,,
EMD-37198,amyloid,3,2.39,178.48,C1,2.393333082,178.4734051,1,0.003869948,,0.958733963,0.947087436,Yes,equal,,,
EMD-37200,amyloid,3.7,4.81,-1.92,C1,4.786666664,-1.927735521,1,0.023639053,,0.959513263,0.928731238,Yes,equal,,,
EMD-45005,amyloid,2.7,2.39,179.45,C1,2.39333301,179.4059482,1,0.017834449,,0.82050589,0.823883509,Yes,equal,,,
EMD-17729,non-amyloid,2.52,2.782,-164.175,C1,2.787248093,-164.1794487,1,0.005522449,,0.926434365,0.924531361,Yes,equal,,,
EMD-45007,amyloid,3,4.81,-1.08,C1,4.786666665,-1.125397194,1,0.033815013,,0.815330057,0.808799465,Yes,equal,,,
EMD-38695,non-amyloid,3.4,6.91,56.16,C1,7.055993417,56.13392794,1,0.146633387,,0.918173983,0.885732113,Yes,equal,,,
EMD-45009,amyloid,3.2,4.77,-1.04,C1,4.786666655,-1.111289001,1,0.040955468,,0.778715291,0.784123684,Yes,equal,,,
EMD-37170,amyloid,3.3,2.39,178.44,C1,2.393333249,178.4244926,1,0.005923659,,0.937880411,0.927404771,Yes,equal,,,
EMD-45979,amyloid,3.2,4.85,-1.43,C1,4.850337731,-1.432219819,1,0.001353701,,0.973434595,0.97314158,Yes,equal,,,
EMD-45008,amyloid,3.1,2.37,179.5,C1,2.390960901,179.4229148,1,0.040789045,,0.782202096,0.800124645,Yes,equal,,,
EMD-50271,amyloid,3.9,4.9162,-0.7351,C1,4.916376805,-0.835758429,1,0.046139194,,0.844781901,0.836541396,Yes,equal,,,
EMD-43835,non-amyloid,3.5,4.95,-3.578,C2,4.947057515,-3.550000946,2,0.007892918,,0.926241829,0.926158326,Yes,equal,,,
EMD-36930,non-amyloid,13,63.3,-25.6,C10,64.34390214,9.898074673,10,1.049755837,,0.965495945,0.939891089,Yes,equal,,,
EMD-36912,non-amyloid,15.9,31.3,-134.3,C1,30.5533775,-133.6136172,1,0.788198961,,0.992139287,0.982454232,Yes,equal,,,
EMD-36910,non-amyloid,16.4,22.8,-98.4,C1,13.32201463,-106.4542137,1,9.7143371,,0.976010161,0.772021803,Yes,equal,,,
EMD-41279,non-amyloid,4.43,27.43,-167.23,C1,27.24329803,-167.2581079,1,0.186795813,,0.885102977,0.88820425,Yes,equal,,,
EMD-41273,non-amyloid,3.98,27.48,-167.22,C1,27.31981555,-167.1134871,1,0.162210418,,0.879855173,0.880729519,Yes,equal,,,
EMD-36932,non-amyloid,12.6,63.3,-23.3,C11,63.59140935,42.018156,1,0.292841,,0.961947322,0.959941298,Yes,equal,,,
EMD-36927,non-amyloid,11,31.9,-30.9,C5,31.71268722,-30.97350612,5,0.187930702,,0.955493045,0.953542061,Yes,equal,,,
EMD-60346,non-amyloid,2.97,21,85.85,C1,20.81230485,85.07358709,2,0.534840797,,0.93738641,0.68327171,Yes,equal,,,
EMD-19822,non-amyloid,3.85,5.33,133.61,D1,5.322891209,133.5767061,1,0.036081374,,0.762682227,0.832469452,Yes,equal,,,
EMD-18308,non-amyloid,3.35,5.044,-136.5,D1,5.044530157,-136.5175838,1,0.016488361,,0.716983608,0.801963286,Yes,equal,,,
EMD-45639,amyloid,2.04,2.42,179.45,C1,2.416675869,179.4421314,1,0.005044881,,0.960240497,0.95220745,Yes,equal,,,
EMD-18310,non-amyloid,3.61,5.408,133.595,D1,5.401192607,133.5901071,1,0.114736847,,0.770177703,0.776415269,Yes,equal,,,
EMD-50621,amyloid,2.9,4.96,-1.92,C1,4.964357325,-1.917248444,1,0.00451852,,0.736928929,0.739994013,Yes,equal,,,
EMD-18309,non-amyloid,3.86,14.547,-83.25,D3,14.53845963,36.75111161,3,0.008598244,,0.815859716,0.816443007,Yes,equal,,,
EMD-50628,amyloid,2.75,4.98,-1.83,C1,4.989663278,-1.86874046,1,0.014545442,,0.785308237,0.800044554,Yes,equal,,,
EMD-18990,amyloid,3,2.405,179.44,C1,2.399901966,179.4438709,1,0.005358763,,0.967419258,0.954167437,Yes,equal,,,
EMD-19962,non-amyloid,3.33,5.46,107.91,C1,5.456017117,107.8954914,1,0.008012179,,0.7494541,0.748726751,Yes,equal,,,
EMD-60637,amyloid,3.1,2.41,179.6,C1,2.408892028,179.6596473,1,0.023890081,,0.866989025,0.945982997,Yes,equal,,,
EMD-19905,non-amyloid,3.23,5.49,107.95,C1,5.493082623,107.9506471,1,0.003099413,,0.804155733,0.804609284,Yes,equal,,,
EMD-50270,amyloid,3.6,4.9158,-0.7425,C1,4.917371844,-0.859614479,1,0.06360045,,0.861103339,0.852265492,Yes,equal,,,
EMD-19943,non-amyloid,3.06,5.45,107.91,C1,5.443346601,107.8745018,1,0.017643085,,0.680729815,0.683990131,Yes,equal,,,
EMD-50888,amyloid,2.23,2.37,179.5,C1,2.365368706,179.4978695,1,0.004907107,,0.877368614,0.879279642,Yes,equal,,,
EMD-50860,amyloid,2.86,4.82,-0.8,C2,4.786666652,-0.80805331,2,0.033455827,,0.910518613,0.842978119,Yes,equal,,,
EMD-19849,amyloid,3.3,4.76,-1.07,C1,4.77377265,-1.074003901,1,0.013936921,,0.969688876,0.941999398,Yes,equal,,,
EMD-19846,amyloid,2.8,2.37,179.4,C1,2.372004532,179.3970629,1,0.002591114,,0.96942084,0.966970249,Yes,equal,,,
EMD-17730,non-amyloid,2.98,2.782,-164.175,C1,2.784339289,-164.1803864,1,0.003357957,,0.770457532,0.770760748,Yes,equal,,,
EMD-19852,amyloid,2.3,4.76,-0.88,C3,4.74740522,-0.878542032,3,0.012621069,,0.953000787,0.924213923,Yes,equal,,,
EMD-45565,non-amyloid,3,27.38,167.88,C1,27.41190769,-166.9310655,1,5.203299324,,0.548508828,0.690189624,Yes,improve,twist sign,,
EMD-60132,non-amyloid,3.54,27.325,-166.693,C1,27.43,-166.7,1,50.15608627,,0.879067204,0.918895912,Yes,equal,deposited,,
EMD-51491,non-amyloid,2.5,2.76,-167.2,C1,27.56256856,-167.1906856,1,24.80256874,,0.124543424,0.91484582,Yes,improve,wrong value,value is wrong in paper,
EMD-46977,non-amyloid,5.6,16.11,177.9,C1,16.11,177.9,1,15.05104454,,0.75403141,0.75403141,Yes,equal,deposited,,
EMD-46599,amyloid,3.3,4.68,-4.22,C2,4.68,-4.23,2,5.080299379,,0.959725078,0.959725078,Yes,equal,deposited,,
EMD-60659,non-amyloid,3.5,12.41,134.79,C1,12.40322253,-134.0635708,1,13.16755963,,0.572653093,0.88577987,Yes,improve,twist sign,,
EMD-46909,amyloid,3.53,4.755,-0.871,C1,2.384988962,179.5734331,1,63.93729715,,0.967518117,0.909127048,Yes,equal,different,suboptimal,
EMD-46904,amyloid,2.71,4.749,-0.814,C1,2.375,179.593,1,70.6918417,,0.851511857,0.874271822,Yes,equal,different,suboptimal,
EMD-43188,non-amyloid,3.6,109.86,53.33,C1,27.4413476,-166.5496389,1,86.19972976,,0.19158223,0.701937587,Yes,improve,wrong value,,
EMD-45135,non-amyloid,3.4,27.5,166.77,C1,27.29924355,-166.8724038,1,6.071407701,,0.355341759,0.937666315,Yes,improve,twist sign,,
EMD-44477,non-amyloid,3.4,39.9,31.6,D2,39.9,31.6,2,44.67803944,,0.697498202,0.697498202,Yes,equal,deposited,,
EMD-38202,non-amyloid,3.5,38.3,40.7,C3,38.2577779,-40.99075342,3,11.85913357,,0.594473215,0.880285465,Yes,improve,twist sign,,
EMD-43640,non-amyloid,5.5,30,60,C2,30,-60,1,34.93541946,,0.415082236,0.827304922,Yes,improve,twist sign,,
EMD-38097,amyloid,3,2.4056,-179.334,C1,2.38,-179.34,1,14.07292633,,0.739148182,0.739148182,Yes,equal,deposited,,
EMD-42932,amyloid,2.72,2.72,3.025,C1,3.98658005,20.03720465,1,11.56798572,,0.143724764,0.968301037,Yes,improve,wrong value,,
EMD-43868,microtubule,4.1,111.12,-0.3,C1,5.067152945,65.41641698,1,117.6872083,,0.882472331,0.81528103,Yes,equal,different,suboptimal,
EMD-60657,non-amyloid,3.51,12.33,78.06,C1,12.32948803,-78.00855595,1,29.63527295,,0.465092598,0.863623883,Yes,improve,twist sign,,
EMD-43829,microtubule,3.4,110.25,-0.61,C1,10.03183907,130.8331911,1,115.4366976,,0.805070985,0.740658258,Yes,equal,different,suboptimal,
EMD-60656,non-amyloid,3.22,11.54,75.13,C1,11.54117399,-75.14472466,1,29.3604411,,0.349904309,0.844355477,Yes,improve,twist sign,,
EMD-47092,amyloid,4.41,4.82,-0.93,C2,4.82,-0.93,2,4.739920754,,0.96473319,0.96473319,Yes,equal,deposited,,
EMD-43585,non-amyloid,4.24,43.22,-18.56,C14,43.22,18.56,14,43.38310729,,0.738915824,0.98976541,Yes,improve,check,twist sign,
EMD-45610,non-amyloid,3.2,0.692,153.94,C1,0.692,153.94,1,24.41624497,,0.919207213,0.919207213,Yes,equal,deposited,,
EMD-19863,non-amyloid,5.5,2.53,62.4,C1,2.493055266,-62.41211613,1,43.27969645,,0.535392538,0.926073585,Yes,improve,twist sign,,
EMD-19864,non-amyloid,6.4,2.13,53.15,C1,2.131135821,-53.14630694,1,61.42622063,,0.510376267,0.932991951,Yes,improve,twist sign,,
EMD-45130,amyloid,2.31,4.69,2.58,C1,4.69,2.58,1,4.744207583,,0.691325847,0.691325847,Yes,equal,deposited,,
